post_id,published_at,text,likes,comments_count,shares_count,reactions,comments_list
1206928638130628,1970-01-01 00:29:20.346931,صدور نتائج طلبات المعادلة للطلاب القادمين من خارج الجامعة اللبنانية، وذلك للعام الجامعي 2025-2026,51,4,0,"{""like"": 51}",[]
1204120265078132,1970-01-01 00:29:20.081991,دعوة حول انتخاب  مجالس الفروع وممثلي الأساتذة في كلية العلوم,27,0,0,"{""like"": 27}",[]
1197812525708906,1970-01-01 00:29:19.505525,"إعلان طلبات ترشح للماستر ٢ بحثي
Molecular Immunology and Cancer Biology 
للعام الجامعي ٢٠٢٥ - ٢٠٢٦

",13,0,0,"{""like"": 13}",[]
1176284361195056,1970-01-01 00:29:11.269958,للتذكير,25,3,0,"{""like"": 25}",[]
