post_id,published_at,text,likes,comments_count,shares_count,reactions,comments_list
1206928638130628,1970-01-01 00:29:20.346931,صدور نتائج طلبات المعادلة للطلاب القادمين من خارج الجامعة اللبنانية، وذلك للعام الجامعي 2025-2026,51,4,0,"{""like"": 51}","[{""comment_id"": ""Y29tbWVudDoxMjA2OTI4NjM4MTMwNjI4Xzc4ODY1MDM3MDcyODY1Mg=="", ""text"": ""Wen mnshuf l asme2??"", ""author_name"": """", ""created_time"": ""2025-10-13T11:28:28.000Z"", ""likes_count"": 0, ""replies_count"": 0}, {""comment_id"": ""Y29tbWVudDoxMjA2OTI4NjM4MTMwNjI4XzY3MTU3ODkwODkzNzkwMQ=="", ""text"": ""وين منشوف النتائج؟"", ""author_name"": """", ""created_time"": ""2025-10-13T10:09:45.000Z"", ""likes_count"": 0, ""replies_count"": 0}, {""comment_id"": ""Y29tbWVudDoxMjA2OTI4NjM4MTMwNjI4XzEzMDY4NjQxNTQ1MjA4MzA="", ""text"": ""Ghinwa Fj"", ""author_name"": """", ""created_time"": ""2025-10-13T11:18:49.000Z"", ""likes_count"": 0, ""replies_count"": 0}]"
1204120265078132,1970-01-01 00:29:20.081991,دعوة حول انتخاب  مجالس الفروع وممثلي الأساتذة في كلية العلوم,27,0,0,"{""like"": 27}","[{""comment_id"": """", ""text"": """", ""author_name"": """", ""created_time"": """", ""likes_count"": 0, ""replies_count"": 0}]"
1197812525708906,1970-01-01 00:29:19.505525,"إعلان طلبات ترشح للماستر ٢ بحثي
Molecular Immunology and Cancer Biology 
للعام الجامعي ٢٠٢٥ - ٢٠٢٦

",13,0,0,"{""like"": 13}","[{""comment_id"": """", ""text"": """", ""author_name"": """", ""created_time"": """", ""likes_count"": 0, ""replies_count"": 0}]"
1176284361195056,1970-01-01 00:29:11.269958,للتذكير,25,3,0,"{""like"": 25}","[{""comment_id"": ""Y29tbWVudDoxMTc2Mjg0MzYxMTk1MDU2XzE4OTc4MDQ1MTc3NTEwNzI="", ""text"": ""فتحتو تسجيل للسنة الثالثة اثنين ثلاثاء اربعاء لكن فقط للرقم التسلسلي ٢٠٢٥ .. متى يبدأ التسجيل للباقي ؟"", ""author_name"": """", ""created_time"": ""2025-09-11T08:19:01.000Z"", ""likes_count"": 0, ""replies_count"": 0}, {""comment_id"": ""Y29tbWVudDoxMTc2Mjg0MzYxMTk1MDU2Xzc4ODkyOTU1MzUxNzI2Mg=="", ""text"": ""طلاب السنة الثالثة من بعد الرقم التسلسلي ٢٠٢٥ ..ايمتى؟"", ""author_name"": """", ""created_time"": ""2025-09-11T08:17:53.000Z"", ""likes_count"": 0, ""replies_count"": 0}, {""comment_id"": ""Y29tbWVudDoxMTc2Mjg0MzYxMTk1MDU2XzExNDgxNTc1OTczNzc1MTM="", ""text"": ""انا طالب اول سنة في كلية العلوم في فرع الحدث بس ما عم بعرف كيف برنامجي في الصفوق"", ""author_name"": """", ""created_time"": ""2025-09-12T17:27:46.000Z"", ""likes_count"": 0, ""replies_count"": 0}]"
1173218691501623,1970-01-01 00:29:16.975653,إعلان عن بدء استقبال طلبات المعادلات  والإعفاءات للطلاب القادمين من داخل الجامعة اللبنانية,112,6,0,"{""like"": 110, ""love"": 2}","[{""comment_id"": ""Y29tbWVudDoxMTczMjE4NjkxNTAxNjIzXzY4ODIwMTIxMDk0ODQ2NA=="", ""text"": ""Agnès Sassine bifidik hek shi?"", ""author_name"": """", ""created_time"": ""2025-09-04T08:50:49.000Z"", ""likes_count"": 0, ""replies_count"": 0}, {""comment_id"": ""Y29tbWVudDoxMTczMjE4NjkxNTAxNjIzXzc1NjQ3NTQzMDU4ODUwMw=="", ""text"": ""اذا ممكن هل يوجد تسجيل دكتوراة إدارة أعمال"", ""author_name"": """", ""created_time"": ""2025-09-04T09:16:00.000Z"", ""likes_count"": 0, ""replies_count"": 0}, {""comment_id"": ""Y29tbWVudDoxMTczMjE4NjkxNTAxNjIzXzEzMDgyNTYzMjQwMjk3NTI="", ""text"": ""انا مخلصة إجازة علم إجتماع في يكمل بجامعة الحدث"", ""author_name"": """", ""created_time"": ""2025-09-11T04:42:55.000Z"", ""likes_count"": 0, ""replies_count"": 0}, {""comment_id"": ""Y29tbWVudDoxMTczMjE4NjkxNTAxNjIzXzE0OTc4NTE1NzQ4OTk3Mjk="", ""text"": ""ممكن نعرف شو هني الإختصاصات اللي بتعادولها؟"", ""author_name"": """", ""created_time"": ""2025-09-04T16:21:10.000Z"", ""likes_count"": 0, ""replies_count"": 0}]"
1168006615356164,1970-01-01 00:29:16.392037,"أسماء الطلاب المقبولين في الماستر البحثي
Microwave
للعام الجامعي 2025 – 2026",173,64,0,"{""like"": 164, ""love"": 6, ""haha"": 2, ""wow"": 1}","[{""comment_id"": ""Y29tbWVudDoxMTY4MDA2NjE1MzU2MTY0Xzc1Mzc0NTU1NzQ2OTQyMQ=="", ""text"": ""Lebanese University is my favorite always ♥️"", ""author_name"": """", ""created_time"": ""2025-08-29T19:19:54.000Z"", ""likes_count"": 0, ""replies_count"": 0}, {""comment_id"": ""Y29tbWVudDoxMTY4MDA2NjE1MzU2MTY0XzEzNDAwNDY4NDEwNDM3MzU="", ""text"": ""Malak El Taki    so proud  of u hbb 😍"", ""author_name"": """", ""created_time"": ""2025-08-29T18:47:35.000Z"", ""likes_count"": 0, ""replies_count"": 0}, {""comment_id"": ""Y29tbWVudDoxMTY4MDA2NjE1MzU2MTY0XzEwNjYwNzk3NDIzNDYzODk="", ""text"": ""بستحلي شوف شي مرّة اسم جورج او ريتا ، بس \""شكلن مش شاطرين\"""", ""author_name"": """", ""created_time"": ""2025-08-31T08:36:36.000Z"", ""likes_count"": 0, ""replies_count"": 0}, {""comment_id"": ""Y29tbWVudDoxMTY4MDA2NjE1MzU2MTY0XzEwODc5MTczODY3NjA3MjU="", ""text"": ""متل العاده جميع الناجحين من لون واحد \nوقال شو جامعه لبنانيه."", ""author_name"": """", ""created_time"": ""2025-08-29T18:11:02.000Z"", ""likes_count"": 0, ""replies_count"": 0}, {""comment_id"": ""Y29tbWVudDoxMTY4MDA2NjE1MzU2MTY0XzE4MDA1MTUyMTcyMDg0NDY="", ""text"": ""احيانا لما نشوف اسماء مبينين من لون واحد بمكان أغلبية الطلاب فيه هني من هاللون ممكن يكون دليل انو ما في طائفية وستة وستة مكرر متل ما معودين بهالبلد. نحرم ناس بكونوا بيستاهلو اكتر بس لان مضطرين نمرق حدا من غير لون."", ""author_name"": """", ""created_time"": ""2025-08-31T14:39:54.000Z"", ""likes_count"": 0, ""replies_count"": 0}, {""comment_id"": ""Y29tbWVudDoxMTY4MDA2NjE1MzU2MTY0XzI5ODY0Mzk5NzE1NjExNDQ="", ""text"": ""ل يلي عم يسألو ليش من طائفة وحدة شيلووو التعصب على جنب وفكرو ب عقل انو الجامعة اللبنانية الفرع الأول وين موجودة ومين الاغلبية الي الموجودة بالمنطقة بتعرفوا ليش من طائفة وحدة ونفس الشي رح يكون ب الفرع الثاني ب جل الديب"", ""author_name"": """", ""created_time"": ""2025-08-30T19:51:38.000Z"", ""likes_count"": 0, ""replies_count"": 0}, {""comment_id"": ""Y29tbWVudDoxMTY4MDA2NjE1MzU2MTY0XzE0Nzg0MjEyMDY0MjcxNDY="", ""text"": ""Nour Al Meselmene  shu l ossa meselmani always taking the lead🙌"", ""author_name"": """", ""created_time"": ""2025-09-01T12:15:54.000Z"", ""likes_count"": 0, ""replies_count"": 0}, {""comment_id"": ""Y29tbWVudDoxMTY4MDA2NjE1MzU2MTY0XzEwODMxNDY1MzQwMDczMDU="", ""text"": ""وبكل عين وقحة منزلين الأسماء\nلازم تتغير اسم هالجامعة. وخاصة فروع الحدث وبيروت لجامعة اللون الواحد \nعيب تتسمى الجامعة اللبنانية"", ""author_name"": """", ""created_time"": ""2025-09-02T06:18:28.000Z"", ""likes_count"": 0, ""replies_count"": 0}, {""comment_id"": ""Y29tbWVudDoxMTY4MDA2NjE1MzU2MTY0XzE1MTYwNTI2MTY0ODMyNzQ="", ""text"": ""حتى على الموت لا نخلو من الحسدِ"", ""author_name"": """", ""created_time"": ""2025-09-01T19:25:08.000Z"", ""likes_count"": 0, ""replies_count"": 0}, {""comment_id"": ""Y29tbWVudDoxMTY4MDA2NjE1MzU2MTY0XzE3MzcyNTAwODY5MjcxMjY="", ""text"": ""ماكو دكتوراة إدارة أعمال"", ""author_name"": """", ""created_time"": ""2025-08-28T14:52:58.000Z"", ""likes_count"": 0, ""replies_count"": 0}]"
1165334115623414,1970-01-01 00:29:16.110012,إعلان صادر عن عمادة كليّة العلوم,99,8,0,"{""like"": 95, ""love"": 3, ""wow"": 1}","[{""comment_id"": ""Y29tbWVudDoxMTY1MzM0MTE1NjIzNDE0XzE4Nzc5ODUwMTYxMTIyODk="", ""text"": ""هل يوجد دكتوراة إدارة أعمال"", ""author_name"": """", ""created_time"": ""2025-08-25T08:33:50.000Z"", ""likes_count"": 0, ""replies_count"": 0}, {""comment_id"": ""Y29tbWVudDoxMTY1MzM0MTE1NjIzNDE0XzEwNzAyNTc4NTgyMjQxNjk="", ""text"": ""ان شاء الله خير"", ""author_name"": """", ""created_time"": ""2025-08-25T15:42:44.000Z"", ""likes_count"": 0, ""replies_count"": 0}, {""comment_id"": ""Y29tbWVudDoxMTY1MzM0MTE1NjIzNDE0XzI3ODk5ODkzODEyMDMyMTQ="", ""text"": ""أيمتى التسجيل للسنة الثالثة؟"", ""author_name"": """", ""created_time"": ""2025-09-01T08:50:31.000Z"", ""likes_count"": 0, ""replies_count"": 0}, {""comment_id"": ""Y29tbWVudDoxMTY1MzM0MTE1NjIzNDE0XzIyMDI1OTk1MjM1NzkxNTM="", ""text"": ""ان شاء الله خير"", ""author_name"": """", ""created_time"": ""2025-08-25T08:24:07.000Z"", ""likes_count"": 0, ""replies_count"": 0}, {""comment_id"": ""Y29tbWVudDoxMTY1MzM0MTE1NjIzNDE0XzY0MjIxNzE3ODUwMTg4Mw=="", ""text"": ""يمان عبيد"", ""author_name"": """", ""created_time"": ""2025-08-25T14:40:10.000Z"", ""likes_count"": 0, ""replies_count"": 0}, {""comment_id"": ""Y29tbWVudDoxMTY1MzM0MTE1NjIzNDE0XzE3MTg4MTE0NDU0NzA4OTY="", ""text"": ""Maria Tayba"", ""author_name"": """", ""created_time"": ""2025-08-25T09:14:11.000Z"", ""likes_count"": 0, ""replies_count"": 0}, {""comment_id"": ""Y29tbWVudDoxMTY1MzM0MTE1NjIzNDE0XzEwODQ4Nzk2MTcxMjMzMTM="", ""text"": ""Ghinwa Fj"", ""author_name"": """", ""created_time"": ""2025-08-25T11:20:25.000Z"", ""likes_count"": 0, ""replies_count"": 0}]"
