post_id,published_at,text,likes,comments_count,shares_count,reactions,comments_list
1347647323397307,2025-09-30 21:26:24,"Keep an eye on the night sky in October—you might catch a falling star!

The Orionid meteor shower reaches its peak on the night of Oct. 21-22, with a new moon providing ideal skywatching conditions. The Draconids will also be visible earlier in the month. 

Here's what else to watch out for!",3184,415,771,{},415
1347620313400008,2025-09-30 20:30:36,"Last week, we announced our new class of astronaut candidates: 10 pilots, scientists, doctors, and explorers from across the United States. 

They're starting two years of intensive training, after which they'll be eligible for missions to low Earth orbit, the Moon, and beyond. Come join the journey with us—follow our new candidates on social media: https://go.nasa.gov/4mLeL7j",3565,426,421,{},426
1344096130419093,2025-09-26 15:35:01,"Earlier this week, we announced our newest class of astronaut candidates — and you may have already seen their bios and read their stories. But do you know what book they would take with them to a desert island?

Get up-close and personal with our future explorers in today's episode of Houston, We Have A Podcast: go.nasa.gov/46D66h5",1125,132,152,{},132
