post_id,published_at,text,likes,comments_count,shares_count,reactions,comments_list
mPcoBfQ5j-k,2023-03-10 19:21:25,"NASA, For the Benefit of All",3200,0,0,{},[]
08pFoFDiAU8,2025-10-22 11:38:55,"ELITA 9: Aneli pronašla vreme i da obavi razgovor sa Neriom, on joj ogolio dušu - 22.10.2025.",359,439,0,{},[]
5fnCWGc4qpE,2025-10-22 03:07:01,3I/ATLAS: Is This New Image The Proof We've Been Waiting For?,3500,222,0,{},[]
VecR7yLfogU,2025-10-20 17:39:46,It Answered Back - NASA’s 3I/Atlas Discovery Just Took a Terrifying Turn!,495,76,0,{},[]
z1yAQaciLrw,2025-10-22 12:08:00,SALVAR A GAZA: EL MUNDO DEBE DESARMAR  HAMAS ANTES DE QUE SEA DEMASIADO TARDE.,243,32,0,{},[]
uSMGENDH_QI,2025-06-11 20:10:18,Cosmic Dawn (NASA+ Original Documentary),18000,0,0,{},[]
ZUM2Q1C0KJ8,2025-10-16 21:15:02,NASA Emergency Briefing as Second Wave of Andromeda Signals Hits Earth,3900,462,0,{},[]
aQUw8LShKT8,2025-10-22 12:02:43,"OFFICIAL: 3I/ATLAS Brings ""Alien Chemistry"" (The Reverse CO2 Mystery) | Michio Kaku",50,13,0,{},[]
Sx7jnsyaFsA,2021-06-16 21:56:15,Try NASA’s Safe Landing on the Moon Challenge,355,4,0,{},[]
x1SgmFa0r04,2014-11-17 18:13:56,NASA | A Year in the Life of Earth's CO2,29000,1985,0,{},[]
