post_id,published_at,text,likes,comments_count,shares_count,reactions,comments_list
1206928638130628,1970-01-01 00:29:20.346931,صدور نتائج طلبات المعادلة للطلاب القادمين من خارج الجامعة اللبنانية، وذلك للعام الجامعي 2025-2026,51,4,0,"{""like"": 51}","[{""comment_id"": ""Y29tbWVudDoxMjA2OTI4NjM4MTMwNjI4Xzc4ODY1MDM3MDcyODY1Mg=="", ""text"": ""Wen mnshuf l asme2??"", ""author_name"": """", ""created_time"": ""2025-10-13T11:28:28.000Z"", ""likes_count"": 0, ""replies_count"": 0}, {""comment_id"": ""Y29tbWVudDoxMjA2OTI4NjM4MTMwNjI4XzY3MTU3ODkwODkzNzkwMQ=="", ""text"": ""وين منشوف النتائج؟"", ""author_name"": """", ""created_time"": ""2025-10-13T10:09:45.000Z"", ""likes_count"": 0, ""replies_count"": 0}, {""comment_id"": ""Y29tbWVudDoxMjA2OTI4NjM4MTMwNjI4XzEzMDY4NjQxNTQ1MjA4MzA="", ""text"": ""Ghinwa Fj"", ""author_name"": """", ""created_time"": ""2025-10-13T11:18:49.000Z"", ""likes_count"": 0, ""replies_count"": 0}]"
1204120265078132,1970-01-01 00:29:20.081991,دعوة حول انتخاب  مجالس الفروع وممثلي الأساتذة في كلية العلوم,27,0,0,"{""like"": 27}",[]
1197812525708906,1970-01-01 00:29:19.505525,"إعلان طلبات ترشح للماستر ٢ بحثي
Molecular Immunology and Cancer Biology 
للعام الجامعي ٢٠٢٥ - ٢٠٢٦

",13,0,0,"{""like"": 13}",[]
1176284361195056,1970-01-01 00:29:11.269958,للتذكير,25,3,0,"{""like"": 25}","[{""comment_id"": ""Y29tbWVudDoxMTc2Mjg0MzYxMTk1MDU2XzE4OTc4MDQ1MTc3NTEwNzI="", ""text"": ""فتحتو تسجيل للسنة الثالثة اثنين ثلاثاء اربعاء لكن فقط للرقم التسلسلي ٢٠٢٥ .. متى يبدأ التسجيل للباقي ؟"", ""author_name"": """", ""created_time"": ""2025-09-11T08:19:01.000Z"", ""likes_count"": 0, ""replies_count"": 0}, {""comment_id"": ""Y29tbWVudDoxMTc2Mjg0MzYxMTk1MDU2Xzc4ODkyOTU1MzUxNzI2Mg=="", ""text"": ""طلاب السنة الثالثة من بعد الرقم التسلسلي ٢٠٢٥ ..ايمتى؟"", ""author_name"": """", ""created_time"": ""2025-09-11T08:17:53.000Z"", ""likes_count"": 0, ""replies_count"": 0}, {""comment_id"": ""Y29tbWVudDoxMTc2Mjg0MzYxMTk1MDU2XzExNDgxNTc1OTczNzc1MTM="", ""text"": ""انا طالب اول سنة في كلية العلوم في فرع الحدث بس ما عم بعرف كيف برنامجي في الصفوق"", ""author_name"": """", ""created_time"": ""2025-09-12T17:27:46.000Z"", ""likes_count"": 0, ""replies_count"": 0}]"
