post_id,published_at,text,likes,comments_count,shares_count,reactions,comments_list
1206928638130628,1970-01-01 00:29:20.346931,صدور نتائج طلبات المعادلة للطلاب القادمين من خارج الجامعة اللبنانية، وذلك للعام الجامعي 2025-2026,51,4,0,"{""like"": 51}",[]
1204120265078132,1970-01-01 00:29:20.081991,دعوة حول انتخاب  مجالس الفروع وممثلي الأساتذة في كلية العلوم,27,0,0,"{""like"": 27}",[]
1197812525708906,1970-01-01 00:29:19.505525,"إعلان طلبات ترشح للماستر ٢ بحثي
Molecular Immunology and Cancer Biology 
للعام الجامعي ٢٠٢٥ - ٢٠٢٦

",13,0,0,"{""like"": 13}",[]
1176284361195056,1970-01-01 00:29:11.269958,للتذكير,25,3,0,"{""like"": 25}",[]
1173218691501623,1970-01-01 00:29:16.975653,إعلان عن بدء استقبال طلبات المعادلات  والإعفاءات للطلاب القادمين من داخل الجامعة اللبنانية,112,6,0,"{""like"": 110, ""love"": 2}",[]
1168006615356164,1970-01-01 00:29:16.392037,"أسماء الطلاب المقبولين في الماستر البحثي
Microwave
للعام الجامعي 2025 – 2026",173,64,0,"{""like"": 164, ""love"": 6, ""haha"": 2, ""wow"": 1}",[]
1165334115623414,1970-01-01 00:29:16.110012,إعلان صادر عن عمادة كليّة العلوم,99,8,0,"{""like"": 95, ""love"": 3, ""wow"": 1}",[]
