post_id,published_at,text,likes,comments_count,shares_count,reactions,comments_list
1347647323397307,1970-01-01 00:29:19.267584,"Keep an eye on the night sky in October—you might catch a falling star!

The Orionid meteor shower reaches its peak on the night of Oct. 21-22, with a new moon providing ideal skywatching conditions. The Draconids will also be visible earlier in the month. 

Here's what else to watch out for!",3423,555,0,"{""like"": 2721, ""love"": 615, ""support"": 50, ""wow"": 20, ""haha"": 8, ""anger"": 7, ""sorry"": 2}",[]
1347620313400008,1970-01-01 00:29:19.264236,"Last week, we announced our new class of astronaut candidates: 10 pilots, scientists, doctors, and explorers from across the United States. 

They're starting two years of intensive training, after which they'll be eligible for missions to low Earth orbit, the Moon, and beyond. Come join the journey with us—follow our new candidates on social media: https://go.nasa.gov/4mLeL7j",3782,464,0,"{""like"": 3034, ""love"": 551, ""haha"": 113, ""support"": 60, ""wow"": 17, ""sorry"": 4, ""anger"": 3}",[]
1344096130419093,1970-01-01 00:29:18.900901,"Earlier this week, we announced our newest class of astronaut candidates — and you may have already seen their bios and read their stories. But do you know what book they would take with them to a desert island?

Get up-close and personal with our future explorers in today's episode of Houston, We Have A Podcast: go.nasa.gov/46D66h5",1175,149,0,"{""like"": 976, ""love"": 167, ""support"": 18, ""haha"": 8, ""wow"": 3, ""anger"": 2, ""sorry"": 1}",[]
1343222297173143,1970-01-01 00:29:18.744685,,1421,120,0,"{""like"": 1183, ""love"": 190, ""support"": 18, ""wow"": 14, ""haha"": 12, ""sorry"": 2, ""anger"": 2}",[]
1341008907394482,1970-01-01 00:29:18.560165,,1414,289,0,"{""like"": 1145, ""love"": 231, ""support"": 14, ""wow"": 10, ""haha"": 7, ""anger"": 6, ""sorry"": 1}",[]
1340958837399489,1970-01-01 00:29:18.568501,"Sept. 22 is the autumnal equinox in the Northern Hemisphere. On this day, our planet isn't tilted toward or away from the Sun, and both day and night are almost exactly 12 hours (with a few small exceptions).
 
How will you celebrate the start of fall?",4077,361,0,"{""like"": 3433, ""love"": 566, ""support"": 32, ""wow"": 26, ""haha"": 15, ""sorry"": 4, ""anger"": 1}",[]
1338506847644688,1970-01-01 00:29:18.314688,,1351,260,0,"{""like"": 1121, ""love"": 185, ""haha"": 19, ""support"": 13, ""wow"": 7, ""sorry"": 3, ""anger"": 3}",[]
